S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021082901029808,ADBL,32,59,11,559,6149.00
2,2021082903062486,GMFIL,19,45,100,745,74500.00
3,2021082903062485,ICFC,28,28,200,1112,222400.00
4,2021082903062484,ICFC,28,38,500,1112,556000.00
5,2021082903062483,NIFRA,36,38,60,439.1,26346.00
6,2021082904050256,UMHL,38,29,10,531,5310.00
7,2021082904050255,SFMF,5,36,13291,18.18,241630.38
8,2021082904050254,SFMF,5,33,12210,18.16,221733.60
9,2021082903062482,JLI,7,43,100,743,74300.00
10,2021082904050253,SFMF,5,33,25964,18.05,468650.20
11,2021082904050252,NGPL,42,39,80,1031,82480.00
12,2021082904050251,NGPL,49,39,25,1032,25800.00
13,2021082904050250,NGPL,42,39,10,1033,10330.00
14,2021082904050249,NGPL,5,39,10,1033,10330.00
15,2021082904050248,NGPL,40,39,40,1035,41400.00
16,2021082904050247,NGPL,10,39,20,1036,20720.00
17,2021082904050246,NGPL,16,39,70,1039,72730.00
18,2021082904050245,NGPL,33,39,40,1039,41560.00
19,2021082904050244,NGPL,55,39,95,1040,98800.00
20,2021082904050243,NGPL,53,39,10,1040,10400.00
Page 1/7957 12345678910Next›Last»
Total Amount Rs.,"15,651,244,505"
Total Quantity,"24,888,313"
